"Market Participant ID","Market Participant Name","Pool Member ID"
"EMZO","Flick Energy Ltd","EMZO"
"ENCS","Energy Communications Ltd",""
"ENDC","EPG Energy Ltd","ENDC"
"ENEC","Eneco Energy Trade BV","ENEC"
"ENEG","Energise Energy Solutions",""
"ENER","Scottish Power Energy Retail","ENER"
"ENGQ","Utilita Energy Limited","ENGQ"
"ENGY","Energy Assets Ltd",""
"ENOC","Enel X UK Limited",""
"ENOS","Enosi Australia Pty Ltd",""
"ENPA","ENPAAS LTD",""
"ENRD","British Gas Trading","BGAS"
"ENRG","Opus Energy Renewables Limited","ENRG"
"ENRO","Enron Capital & Trade Resource","ENRO"
"EOND","E.ON Next Energy Ltd","EOND"
"EONN","E.ON UK Network Assets Limited","EONN"
"EPFA","Electricity Pool Funds Admin",""
"EPHH","E.ON Energy Solutions Limited","EPHH"
"EQUI","Equinicity Ltd","EQUI"
"ESCL","Energy Supply Contracts Ltd",""
"ESIS","Energy Settlements & Info Serv",""
"ESLM","Engage Services (ESL) Ltd",""
"ESML","E.ON UK Energy Services Ltd",""
"ESPO","Essential Power Ltd","ESPO"
"ESQL","E-Squared Limited",""
"ESSL","SQE Energy Limited","ESSL"
"ESSP","EMR SSP",""
"ETCL","The Electricity Network Co Ltd",""
"ETOL","Enron Teeside Operations Ltd","ETOL"
"EURO","Robin Hood Energy Limited","EURO"
"EUST","Octopus Energy Limited","EUST"
"EVAS","Elexon Limited",""
"EVER","Utilita Energy Limited","EVER"
"EXGL","Constellation Generation Ltd","EXGL"
"FARA","URE ENERGY LIMITED","FARA"
"FARR","Farringdon Energy Limited","FARR"
"FEAL","Fulcrum Electricity Assets Ltd","FEAL"
"FEML","Future Energy Metering Ltd",""
"FFUS","Field Force Utility Services",""
"FGEN","Fibrogen Ltd","FGEN"
"FHPL","Fellside Heat and Power Ltd","FHPL"
"FIBR","Fibropower Ltd","FIBR"
"FIWL","Fibrowatt Limited",""
"FLEX","Flexitricity Limited","FLEX"
